index,lens_name,focal_length_mm,max_aperture,min_aperture,blades,min_focus_m,filter_diam_mm,weight_gr,length_mm,diagonal_angle_of_view_deg,magnification
1,Nikon AF Nikkor 14 mm f/ 2.8 D ED,14,2.8,22,7,0.2,0,670,86.5,114.0,0.15
2,Nikon AF Fisheye Nikkor 16 mm f/ 2.8 D,16,2.8,22,7,0.25,0,290,57,180.0,0.10
3,Nikon Nikkor Z 20mm f/1.8 S,20,1.8,16,9,0.2,77,503,108.5,94.0,0.19
4,Nikon Nikkor Z 24 mm f/ 1.8 S,24,1.8,16,9,0.25,72,450,96.5,84.0,0.15
5,Nikon Nikkor Z 26mm f/2.8,26,2.8,16,7,0.2,52,125,23.5,79.0,0.19
6,Nikon Nikkor Z 28mm f/2.8,28,2.8,16,7,0.19,52,155,43,75.0,0.20
7,Nikon Nikkor Z 35 mm f/ 1.8 S,35,1.8,16,9,0.25,62,370,86,63.0,0.18
8,Nikon Nikkor Z 50 mm f/ 1.8 S,50,1.8,16,9,0.4,62,415,86.5,47.0,0.15
9,Nikon AF-S Micro Nikkor 60 mm f/ 2.8 G ED,60,2.8,32,9,0.185,62,425,89,39.6,1.00
10,Nikon Nikkor Z 85 mm f/ 1.8 S,85,1.8,16,9,0.8,67,470,99,28.5,0.12
11,Nikon AF-S NIKKOR 85 mm f/ 1.8 G,85,1.8,16,7,0.8,67,350,73,28.5,0.12
12,Nikon AF-S Nikkor 105 mm f/ 1.4 E ED,105,1.4,16,9,1,82,985,106,23.2,0.13
13,Nikon AF Micro Nikkor 105 mm f/ 2.8 D,105,2.8,32,7,0.314,52,560,104.5,23.2,1.00
14,Nikon AF DC Nikkor 135 mm f/ 2 D,135,2,16,9,1.1,72,815,120,18.0,0.14
15,Nikon Nikkor Z 135mm f/1.8 S Plena,135,1.8,16,11,0.82,82,995,140,18.2,0.20
16,Nikon Micro Nikkor 200 mm f/ 4 IF Ai,200,4,32,9,0.71,52,740,180,12.3,0.50
17,Nikon AF Micro Nikkor 200 mm f/ 4 D IF ED,200,4,32,9,0.5,62,1190,193,12.3,1.00
18,Nikon Nikkor Z 400mm f/4.5 S VR,400,4.5,32,9,2.5,95,1245,234,6.2,0.16
19,Nikon Nikkor Z 600mm f/6.3 S VR,600,6.3,32,9,5,46,2385,385,3.2,0.16
